Date,Open,High,Low,Close,Adj Close,Volume
2024-04-01,69.400002,71.300003,69.400002,70.900002,70.900002,13064844
2024-04-02,70.900002,71.000000,69.900002,70.800003,70.800003,5428670
2024-04-03,70.300003,70.699997,69.800003,70.000000,70.000000,6532831
2024-04-08,69.900002,70.599998,69.400002,70.400002,70.400002,7011807
2024-04-09,70.800003,71.699997,70.699997,71.500000,71.500000,7595488
2024-04-10,71.800003,72.400002,71.500000,72.000000,72.000000,7521289
2024-04-11,71.599998,71.800003,70.699997,70.900002,70.900002,6240179
2024-04-12,70.099998,70.199997,69.599998,69.699997,69.699997,9627241
2024-04-15,69.699997,70.400002,69.500000,69.599998,69.599998,8084046
2024-04-16,69.500000,69.500000,68.000000,68.000000,68.000000,9773557
2024-04-17,68.000000,68.199997,67.599998,67.800003,67.800003,7237806
2024-04-18,67.599998,68.300003,67.199997,68.099998,68.099998,9049872
2024-04-19,67.599998,68.300003,66.800003,67.099998,67.099998,12801661
2024-04-22,67.900002,69.900002,67.599998,69.699997,69.699997,10966830
2024-04-23,69.699997,69.800003,68.900002,69.099998,69.099998,5939120
2024-04-24,69.400002,69.800003,68.699997,68.800003,68.800003,4811997
2024-04-25,68.500000,68.500000,67.500000,67.900002,67.900002,7362141
2024-04-26,67.699997,68.500000,67.599998,67.699997,67.699997,6558251
2024-04-29,68.099998,69.400002,68.099998,69.300003,69.300003,7425698
2024-04-30,69.000000,69.099998,68.500000,68.500000,68.500000,5978393
2024-05-02,68.500000,68.900002,68.000000,68.800003,68.800003,4027331
2024-05-03,69.000000,69.699997,68.199997,68.300003,68.300003,8731013
2024-05-06,68.400002,69.199997,68.400002,69.000000,69.000000,8476522
2024-05-07,69.000000,69.099998,68.099998,68.300003,68.300003,6759864
2024-05-08,68.300003,68.699997,68.099998,68.300003,68.300003,4920988
2024-05-09,68.199997,68.199997,67.699997,67.699997,67.699997,5975007
2024-05-10,67.900002,68.699997,67.699997,68.599998,68.599998,3679478
2024-05-13,68.699997,69.199997,68.400002,68.699997,68.699997,5121878
2024-05-14,68.699997,69.000000,68.199997,68.400002,68.400002,4934460
2024-05-15,68.800003,69.000000,68.099998,68.099998,68.099998,6979448
2024-05-16,68.800003,68.800003,68.000000,68.400002,68.400002,8588429
2024-05-17,67.900002,68.599998,67.900002,68.300003,68.300003,5603300
2024-05-20,68.599998,68.699997,68.000000,68.099998,68.099998,6070604
2024-05-21,68.099998,68.199997,67.000000,67.400002,67.400002,10209655
2024-05-22,67.400002,67.599998,67.000000,67.500000,67.500000,7588757
2024-05-23,67.000000,67.300003,66.800003,67.000000,67.000000,7461519
2024-05-24,67.000000,67.000000,66.099998,66.300003,66.300003,9383528
2024-05-27,66.199997,66.500000,65.400002,66.500000,66.500000,11280171
